Tipo de Comprobante	Codigo Unidad de Negocio	Descripción unidad de negocio	num_doc	tipo_doc	mes	año	Fecha contable	UF	fecha pago factura	RUT proveedor	Razon Social Proveedor	exento_detalle	exento_detalle_uf	afecto_detalle	afecto_detalle_uf	iva_detalle	total_por_documento	concepto1_codigo	concepto1	centro_de_costo	observaciones	Glosa encabezado comprobante	Glosa detalle comprobante	cuenta_contable
E-173	01	OF. CENTRAL ICEMM			11	2025	2025-11-28	39643.59				102036	2.573833499942866					904	904			PAGO CAJA CHICA E.SOLAR OFICINA	ALMUERZO REUNION OFICINA S.KHAMIS (E.SOLAR)	4-2-05-004
E-245	01	OF. CENTRAL ICEMM			1	2026	2026-01-23	39726.59				64630	1.626870063602237					905	905			NOMINA BANCHILE	PAGO GASTOS COMUNES ARRAU	4-2-03-004
E-248	01	OF. CENTRAL ICEMM			1	2026	2026-01-23	39726.59				-64630	-1.626870063602237					905	905			Reversa E - 245: NOMINA BANCHILE	PAGO GASTOS COMUNES ARRAU	4-2-03-004
E-249	01	OF. CENTRAL ICEMM			12	2025	2025-12-04	39643.59				64630	1.630276168227953					905	905			NOMINA BANCHILE	PAGO GGCC ARRAU	4-2-03-004
E-369	01	OF. CENTRAL ICEMM			1	2026	2026-01-13	39752.25				64773	1.629417202799841					905	905			NOMINA OF. CENTRAL 13 ENERO	GG.CC. OF 304 ICEM (NOMINA OF. CENTRAL 13 ENERO)	4-2-03-004
E-518	01	OF. CENTRAL ICEMM			2	2026	2026-02-12	39699.97				65628	1.653099485969385					905	905			NOMINA PROVEEDORES BANCHILE	GASTOS COMUNES ARRAU ENERO	4-2-03-004
E-524	02	LA QUEBRADA			2	2026	2026-02-26	39779.29				138000	3.469141857484133					402	402			NOMINA PROVEEDORES BANCHILE	RENDICION GASTOS CAJA CH. 1  INTERNET SATELITAL	1-2-01-004
E-524	02	LA QUEBRADA			2	2026	2026-02-26	39779.29				971519	24.42273353797918					403	403			NOMINA PROVEEDORES BANCHILE	RENDICION GASTOS CAJA CH. 1  PAGO PERMISO OBRA	1-2-01-004
E-524	02	LA QUEBRADA			2	2026	2026-02-26	39779.29				211459	5.315806290157517					412	412			NOMINA PROVEEDORES BANCHILE	GASTOS CAJA CH 1 COMBUSTIBLE/ESTAC/SNACKS REUNIONES	1-2-01-004
E-655	01	OF. CENTRAL ICEMM			3	2026	2026-03-12	39841.72				65356	1.640391027295006					905	905			NOMINA CHILE OFICINA	PAGO GGCC OFICINA FEBRERO	4-2-03-004
E-668	02	LA QUEBRADA			3	2026	2026-03-30	39841.72				22060	0.5536909551093677					412	412			NOMINA BANCHILE LA QUEBRADA	RENDICION GASTOS - CLAUDIO ARANEDA LA QUEBRADA	1-2-01-004
E-668	02	LA QUEBRADA			3	2026	2026-03-30	39841.72				111772	2.805400971644799					412	412			NOMINA BANCHILE LA QUEBRADA	RENDICION GASTOS - CLAUDIO ARANEDA LA QUEBRADA	1-2-01-004
T-10	01	OF. CENTRAL ICEMM	104711	FACE	9	2025	2025-09-01	39394.46	30/09/2025	78286370-3	TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	0	0	6900	0.175151531458992	1311	8211	904	904	01	104711 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	FACE - 104711: 104711 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	Servicio	1-2-01-010
T-11	01	OF. CENTRAL ICEMM	8626	NCCE	9	2025	2025-09-11	39485.65	11/10/2025	79936340-2	MANAGER SOFTWARE S.A.	-823566	-20.85734944213911				980044	902	902	01	NC/8626 MANAGER SOFTWARE S.A.	NCCE - 8626: NC/8626 MANAGER SOFTWARE S.A.	Servicio	1-2-01-010
